cfl_game_id,sked_id,week_name,week_short,week_id,game_num,game_date,date_tbd,time_tbd,game_status,away_team,away_initial,away_score1,away_score2,away_score3,away_score4,away_scoreOT,away_id,home_team,home_initial,home_score1,home_score2,home_score3,home_score4,home_scoreOT,home_id,attendance,sold_out,is_visible,culture
1,9,Pre-Season A,A,1,1,05-06-07 19:00,0,0,Final,Saskatchewan,ssk,0,7,7,0,0,4,Calgary,cgy,10,2,0,6,0,2,24700,0,1,en
3,13,Pre-Season A,A,1,2,05-06-09 17:00,0,0,Final,Ottawa,ott,3,3,21,0,0,8,Montreal,mtl,7,3,0,6,0,9,0,0,1,en
5,16,Pre-Season A,A,1,3,05-06-10 19:00,0,0,Final,Winnipeg,wpg,0,10,0,10,0,5,Edmonton,edm,7,6,3,4,0,3,0,0,1,en
7,17,Pre-Season A,A,1,4,05-06-11 17:00,0,0,Final,Hamilton,ham,0,0,6,10,0,6,Toronto,tor,10,3,0,3,0,7,11148,0,1,en
9,18,Pre-Season A,A,1,5,05-06-12 15:00,0,0,Final,BC,bc,0,10,3,24,0,1,Saskatchewan,ssk,6,7,10,0,0,4,0,0,1,en
11,15,Pre-Season B,B,2,6,05-06-16 17:00,0,0,Final,Montreal,mtl,17,6,7,0,0,9,Ottawa,ott,10,0,0,0,0,8,0,0,1,en
13,19,Pre-Season B,B,2,7,05-06-16 18:30,0,0,Final,Edmonton,edm,10,0,0,0,0,3,Winnipeg,wpg,0,3,0,0,0,5,28013,0,1,en
15,20,Pre-Season B,B,2,8,05-06-16 20:00,0,0,Final,Calgary,cgy,7,9,0,0,0,2,BC,bc,11,6,7,7,0,1,23753,0,1,en
17,21,Pre-Season B,B,2,9,05-06-17 17:00,0,0,Final,Toronto,tor,0,0,0,0,0,7,Hamilton,ham,0,0,0,0,0,6,24582,0,1,en
19,6,Week 1,1,5,10,05-06-22 19:30,0,0,Final,Hamilton,ham,4,3,7,7,0,6,Montreal,mtl,0,11,17,3,0,9,20202,0,1,en
21,5,Week 1,1,5,11,05-06-24 21:00,0,0,Final,Ottawa,ott,1,8,0,7,0,8,Edmonton,edm,3,16,10,12,0,3,36912,0,1,en
23,2,Week 1,1,5,12,05-06-25 19:00,0,0,Final,BC,bc,0,18,1,8,0,1,Toronto,tor,3,3,10,4,0,7,30712,0,1,en
25,7,Week 1,1,5,13,05-06-25 22:00,0,0,Final,Winnipeg,wpg,0,8,7,0,0,5,Saskatchewan,ssk,16,6,16,4,0,4,23067,0,1,en
27,8,Week 2,2,6,14,05-06-30 20:30,0,0,Final,Edmonton,edm,10,0,7,10,0,3,Winnipeg,wpg,0,1,7,0,0,5,22087,0,1,en
29,10,Week 2,2,6,15,05-07-01 18:00,0,0,Final,Montreal,mtl,10,13,10,0,3,9,Ottawa,ott,3,7,0,23,6,8,18899,0,1,en
31,11,Week 2,2,6,16,05-07-01 19:00,0,0,Final,Toronto,tor,7,7,8,0,0,7,Calgary,cgy,0,3,7,6,0,2,34102,0,1,en
33,12,Week 2,2,6,17,05-07-02 19:00,0,0,Final,Saskatchewan,ssk,7,2,13,1,0,4,Hamilton,ham,7,0,0,14,0,6,29032,0,1,en
35,22,Week 3,3,7,18,05-07-07 20:30,0,0,Final,Calgary,cgy,12,3,3,3,0,2,Winnipeg,wpg,0,7,5,3,0,5,23236,0,1,en
37,23,Week 3,3,7,19,05-07-08 19:00,0,0,Final,Edmonton,edm,14,0,7,8,0,3,Montreal,mtl,0,7,16,9,0,9,20202,0,1,en
39,24,Week 3,3,7,20,05-07-08 22:00,0,0,Final,Ottawa,ott,3,12,0,14,0,8,BC,bc,3,10,14,10,0,1,27506,0,1,en
41,25,Week 3,3,7,21,05-07-09 19:00,0,0,Final,Saskatchewan,ssk,7,8,11,0,0,4,Toronto,tor,3,10,1,13,0,7,26218,0,1,en
43,26,Week 4,4,8,22,05-07-15 21:00,0,0,Final,Winnipeg,wpg,0,4,0,8,0,5,Edmonton,edm,3,4,3,4,0,3,37455,0,1,en
45,27,Week 4,4,8,23,05-07-15 22:00,0,0,Final,Toronto,tor,1,0,21,0,0,7,BC,bc,3,19,8,0,0,1,29217,0,1,en
47,28,Week 4,4,8,24,05-07-16 19:00,0,0,Final,Calgary,cgy,0,11,7,0,0,2,Ottawa,ott,10,17,3,3,0,8,16303,0,1,en
49,29,Week 4,4,8,25,05-07-17 18:00,0,0,Final,Hamilton,ham,8,0,5,0,0,6,Saskatchewan,ssk,0,12,7,13,0,4,23421,0,1,en
51,30,Week 5,5,9,26,05-07-21 19:30,0,0,Final,Edmonton,edm,8,14,7,0,0,3,Ottawa,ott,1,1,10,9,0,8,17607,0,1,en
53,31,Week 5,5,9,27,05-07-22 20:30,0,0,Final,Montreal,mtl,7,3,9,27,0,9,Winnipeg,wpg,14,10,13,14,0,5,24550,0,1,en
55,32,Week 5,5,9,28,05-07-23 19:00,0,0,Final,BC,bc,7,6,10,5,0,1,Hamilton,ham,16,3,0,3,0,6,27692,0,1,en
57,33,Week 5,5,9,29,05-07-23 22:00,0,0,Final,Saskatchewan,ssk,0,4,7,7,0,4,Calgary,cgy,13,14,14,3,0,2,35652,0,1,en
59,34,Week 6,6,10,30,05-07-28 19:00,0,0,Final,Toronto,tor,7,10,5,14,0,7,Montreal,mtl,1,6,1,16,0,9,20202,0,1,en
61,35,Week 6,6,10,31,05-07-29 21:00,0,0,Final,Ottawa,ott,0,2,16,3,0,8,Saskatchewan,ssk,6,3,0,7,0,4,25198,0,1,en
63,36,Week 6,6,10,32,05-07-29 22:00,0,0,Final,Calgary,cgy,14,3,10,0,0,2,BC,bc,3,14,10,13,0,1,28714,0,1,en
65,37,Week 6,6,10,33,05-07-30 19:00,0,0,Final,Hamilton,ham,3,10,7,10,0,6,Edmonton,edm,7,14,7,8,0,3,38018,0,1,en
67,38,Week 6,6,10,34,05-08-01 16:00,0,0,Final,Winnipeg,wpg,3,10,7,7,0,5,Toronto,tor,7,10,7,10,0,7,27214,0,1,en
69,39,Week 7,7,11,35,05-08-04 19:30,0,0,Final,Saskatchewan,ssk,3,0,3,7,0,4,Montreal,mtl,7,11,21,3,0,9,20202,0,1,en
71,40,Week 7,7,11,36,05-08-05 22:00,0,0,Final,Edmonton,edm,0,3,16,0,0,3,BC,bc,0,20,3,2,0,1,35568,0,1,en
73,41,Week 7,7,11,37,05-08-06 19:00,0,0,Final,Ottawa,ott,1,4,14,9,0,8,Hamilton,ham,3,2,7,0,0,6,28822,0,1,en
75,42,Week 7,7,11,38,05-08-06 19:00,0,0,Final,Winnipeg,wpg,2,3,3,13,0,5,Calgary,cgy,10,10,9,1,0,2,30128,0,1,en
77,43,Week 8,8,12,39,05-08-11 19:30,0,0,Final,Saskatchewan,ssk,2,7,7,1,0,4,Ottawa,ott,7,7,1,7,0,8,20607,0,1,en
79,44,Week 8,8,12,40,05-08-12 19:00,0,0,Final,Montreal,mtl,7,7,1,3,0,9,Toronto,tor,0,0,10,0,0,7,31621,0,1,en
81,45,Week 8,8,12,41,05-08-12 22:00,0,0,Final,BC,bc,14,17,1,7,0,1,Calgary,cgy,3,7,7,14,0,2,31847,0,1,en
83,46,Week 8,8,12,42,05-08-13 21:00,0,0,Final,Hamilton,ham,0,0,7,7,0,6,Winnipeg,wpg,0,14,21,9,0,5,24326,0,1,en
85,47,Week 9,9,13,43,05-08-18 21:00,0,0,Final,Calgary,cgy,7,13,10,10,0,2,Montreal,mtl,10,15,0,12,0,9,20202,0,1,en
87,48,Week 9,9,13,44,05-08-19 20:30,0,0,Final,Ottawa,ott,0,7,3,7,0,8,Winnipeg,wpg,10,10,0,18,0,5,26595,0,1,en
89,49,Week 9,9,13,45,05-08-19 22:00,0,0,Final,Hamilton,ham,0,7,0,8,0,6,BC,bc,13,14,5,7,0,1,33119,0,1,en
91,50,Week 9,9,13,46,05-08-20 21:00,0,0,Final,Toronto,tor,0,7,14,1,0,7,Edmonton,edm,0,1,3,14,0,3,38927,0,1,en
93,51,Week 10,10,14,47,05-08-24 19:30,0,0,Final,Calgary,cgy,0,10,0,6,0,2,Toronto,tor,0,7,1,17,0,7,24637,0,1,en
95,52,Week 10,10,14,48,05-08-26 19:00,0,0,Final,Winnipeg,wpg,10,16,6,7,0,5,Hamilton,ham,21,10,3,7,0,6,27443,0,1,en
97,53,Week 10,10,14,49,05-08-26 22:00,0,0,Final,Montreal,mtl,7,7,5,7,0,9,Edmonton,edm,9,10,7,10,0,3,44624,0,1,en
99,14,Week 10,10,14,50,05-08-27 17:00,0,0,Final,BC,bc,2,1,2,14,0,1,Saskatchewan,ssk,0,8,7,0,0,4,24899,0,1,en
101,54,Week 11,11,15,51,05-09-02 19:30,0,0,Final,Ottawa,ott,0,7,3,8,0,8,Montreal,mtl,6,6,7,22,0,9,20202,0,1,en
103,55,Week 11,11,15,52,05-09-04 19:00,0,0,Final,Winnipeg,wpg,0,8,14,4,0,5,Saskatchewan,ssk,7,10,14,14,0,4,28800,0,1,en
105,56,Week 11,11,15,53,05-09-05 15:00,0,0,Final,Edmonton,edm,6,14,5,0,0,3,Calgary,cgy,1,0,9,13,0,2,35652,0,1,en
107,57,Week 11,11,15,54,05-09-05 17:45,0,0,Final,Toronto,tor,3,10,7,10,0,7,Hamilton,ham,2,14,7,10,0,6,29600,0,1,en
109,58,Week 12,12,16,55,05-09-08 19:00,0,0,Final,BC,bc,10,13,20,18,0,1,Ottawa,ott,3,3,7,14,0,8,19013,0,1,en
111,59,Week 12,12,16,56,05-09-09 21:00,0,0,Final,Calgary,cgy,3,10,3,0,0,2,Edmonton,edm,3,0,0,8,0,3,42654,0,1,en
113,60,Week 12,12,16,57,05-09-10 15:00,0,0,Final,Hamilton,ham,0,0,0,0,0,6,Toronto,tor,10,14,8,16,0,7,32274,0,1,en
115,61,Week 12,12,16,58,05-09-10 20:00,0,0,Final,Saskatchewan,ssk,4,7,8,0,0,4,Winnipeg,wpg,1,14,1,1,0,5,29653,0,1,en
117,62,Week 13,13,17,59,05-09-16 20:00,0,0,Final,Winnipeg,wpg,7,12,0,18,0,5,Ottawa,ott,14,7,0,0,0,8,17567,0,1,en
119,63,Week 13,13,17,60,05-09-17 19:00,0,0,Final,Calgary,cgy,7,0,11,21,0,2,Hamilton,ham,14,3,0,0,0,6,27821,0,1,en
121,64,Week 13,13,17,61,05-09-17 21:00,0,0,Final,Montreal,mtl,2,0,3,21,0,9,BC,bc,3,8,6,10,0,1,36066,0,1,en
123,65,Week 13,13,17,62,05-09-18 16:30,0,0,Final,Edmonton,edm,1,15,17,3,0,3,Saskatchewan,ssk,10,14,0,13,0,4,25226,0,1,en
125,66,Week 14,14,18,63,05-09-22 22:00,0,0,Final,Ottawa,ott,16,0,7,0,0,8,Calgary,cgy,7,13,8,17,0,2,25234,0,1,en
127,67,Week 14,14,18,64,05-09-23 21:00,0,0,Final,Toronto,tor,10,0,3,0,0,7,Saskatchewan,ssk,0,11,3,10,0,4,22779,0,1,en
129,68,Week 14,14,18,65,05-09-24 19:00,0,0,Final,BC,bc,0,11,1,8,0,1,Edmonton,edm,8,9,3,17,0,3,48048,0,1,en
