id,stats_inc_id,team_id,playerstats_id,first,last,num,pos,import_status,height,weight,birthdate,birthplace,college,yrsteam,yrsleague,ros_status,created_at
1,286491,11,5962,Damon,Allen,9,1,1,6.00,186,1963-07-29,"San Diego, CA","Cal State Fullerton",5,23,3,"2008-04-18 11:42:17"
3,,11,5983,Sandy,Annunziata,66,7,0,6.02,300,1969-10-11,"Fort Erie, Ontario","Western Ontario",1,10,3,"2008-04-18 11:42:17"
5,,11,6048,Bruce,Beaton,62,9,0,,0,,,Acadia,0,0,3,"2008-04-18 11:42:17"
7,,11,6063,Daved,Benefield,7,14,1,6.03,245,1968-02-16,"Los Angeles, California","Cal State Northridge",2,13,3,"2008-04-18 11:42:17"
9,,11,6333,Jamie,Crysdale,67,6,0,6.04,289,1968-12-14,"Mississauga, Ontario",Cincinnati,13,13,3,"2008-04-18 11:42:17"
11,286477,11,6522,Sean,Fleming,11,16,0,6.03,190,1970-03-19,"Burnaby, BC",Wyoming,16,16,3,"2008-04-18 11:42:17"
13,,11,6553,Malcolm,Frank,10,11,1,5.08,182,1968-11-05,"Beaumont, TX",Baylor,8,10,3,"2008-04-18 11:42:17"
15,,11,7048,Cory,Mantyka,68,8,0,6.05,299,1970-05-31,"Saskatoon, Saskatchewan",Jamestown,14,14,3,"2008-04-18 11:42:17"
17,,11,7121,Danny,McManus,14,1,0,6.00,220,1965-06-17,"Dania, Florida","Florida State",1,17,3,"2008-04-18 11:42:17"
19,,11,7183,Chris,Morris,60,8,0,6.05,290,1968-09-13,"Scarborough, ON",Toronto,14,14,3,"2008-04-18 11:42:17"
21,286764,11,7199,Yo,Murphy,5,4,1,5.11,190,1971-05-11,"San Pedro, CA",Idaho,8,8,3,"2008-04-18 11:42:17"
23,,10,0,"Tory ",Collins,99,21,1,6.02,285,1982-12-19,"New Orleans, LA","Northwestern State",2,1,4,"2008-04-18 11:42:23"
25,22202,11,7581,Milt,Stegall,85,5,1,6.00,189,1970-01-25,Cincinnatti,"Miami (Ohio)",14,14,3,
27,,11,7715,Gerald,Vaughn,39,13,1,6.04,207,1970-04-08,"Abbeville, Mississippi",Mississippi,13,13,3,"2008-04-18 11:42:17"
29,286501,10,7783,Troy,Westwood,74,17,0,5.10,190,1967-03-21,"Selkirk, MB","Augustana College Sioux Falls",19,19,3,
31,286509,9,7938,Anthony,Calvillo,13,1,1,6.01,213,1972-08-23,"East Los Angeles, CA","Utah State",16,20,15,
33,286992,4,8002,Paul,McCallum,15,16,0,5.11,185,1970-01-07,"Vancouver, BC","Surrey Rams (Jrs)",13,23,3,
35,25872,11,8045,Dave,Dickenson,15,1,1,5.11,195,1973-01-11,"Great Falls, Montana",Montana,11,11,3,"2008-04-18 11:42:17"
37,,11,8160,Adrion,Smith,12,10,1,5.10,180,1971-09-29,"Kansas City, MO","Southwest Missouri State",11,13,3,"2008-04-18 11:42:17"
39,,10,8191,Ray,Jacobs,53,14,1,6.02,257,1972-08-18,"Hampstead, North Carolina","North Carolina",1,7,4,"2008-04-18 11:42:17"
41,286489,11,8247,Terry,Vaughn,2,4,1,5.08,175,1971-12-25,"Sumter, SC",Arizona,12,12,3,"2008-04-18 11:42:17"
43,286725,11,8330,Uzooma,Okeke,53,8,1,6.00,310,1970-09-03,"Beaumont, TX","Southern Methodist",11,14,3,"2008-04-18 11:42:17"
45,,11,8340,Fred,Childress,69,7,1,6.04,345,1966-09-17,"West Helena, AR",Arkansas,3,13,3,"2008-04-18 11:42:17"
47,,11,8554,Johnny,Scott,72,15,1,6.02,270,1969-07-15,"Austin, Texas","No College",12,12,3,"2008-04-18 11:42:17"
49,,11,8610,Ed,Philion,75,15,0,6.03,288,1970-03-27,"Essex, ON","Ferris State",9,9,3,"2008-04-18 11:42:17"
51,286552,11,8615,Mike,Morreale,18,4,0,6.03,210,1971-08-10,"Hamilton, ON",McMaster,8,12,3,"2008-04-18 11:42:17"
53,23314,11,8616,Andrew,Greene,68,7,0,6.03,315,1969-09-24,"Kingston, Jamaica",Indiana,10,10,3,"2008-04-18 11:42:17"
55,286633,11,8632,Jay,McNeil,50,7,0,6.04,310,1970-08-20,"London, ON","Kent State",13,13,3,"2008-04-18 11:42:17"
57,,11,8970,Travis,Moore,83,5,1,6.01,193,1970-08-05,"Santa Monica, CA","Ball State",3,11,3,"2008-04-18 11:42:17"
59,,11,9015,Mike,Crumb,37,12,0,6.00,194,1970-11-24,"Kelowna, BC",Saskatchewan,1,9,3,"2008-04-18 11:42:17"
61,286520,10,10520,Randy,Srochenski,45,13,0,6.02,218,1973-01-15,"Regina, SK","Regina Jrs.",5,12,4,"2008-04-18 11:42:17"
63,246365,,119324,Jason,Shivers,2,11,1,6.01,191,1982-11-04,"Phoenix, AZ","Arizona State",2,4,,
65,92864,11,11423,Marcus,Crandell,8,1,1,5.11,205,1974-01-06,"Charlotte, NC","East Carolina",4,10,3,
